"id","Geo Footnote","Geographic Area Name","2017 NAICS code","2017 NAICS Footnote","Meaning of NAICS code","Year","Number of firms","Number of establishments","Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)","Number of employees","Range indicating percent of total sales, value of shipments, or revenue imputed","Range indicating percent of total annual payroll imputed","Range indicating percent of total employees imputed"
"0400000US42","null","Pennsylvania","446110","null","Pharmacies and drug stores","2017","842","2260","12572233","1144507","292933","32913","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","446120","null","Cosmetics, beauty supplies, and perfume stores","2017","227","520","676367","88658","22435","5240","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","446130","null","Optical goods stores","2017","236","622","494280","112088","26739","3830","10% to less than 20%","30% to less than 40%","40% to less than 50%"
"0400000US42","null","Pennsylvania","446191","null","Food (health) supplement stores","2017","155","389","226215","33916","8198","1638","Less than 10%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","446199","null","All other health and personal care stores","2017","249","349","498761","123916","30525","2667","20% to less than 30%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","447110","null","Gasoline stations with convenience stores","2017","1528","3236","16690617","697085","167524","35844","10% to less than 20%","10% to less than 20%","Less than 10%"
"0400000US42","null","Pennsylvania","447190","null","Other gasoline stations","2017","468","638","2996591","135607","32619","5812","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","448110","null","Men's clothing stores","2017","173","294","316407","52666","12455","1924","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","448120","null","Women's clothing stores","2017","365","1052","1209172","154755","37985","10744","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"0400000US42","null","Pennsylvania","448130","null","Children's and infants' clothing stores","2017","61","276","302133","44522","10747","3412","Less than 10%","20% to less than 30%","10% to less than 20%"
"0400000US42","null","Pennsylvania","448140","null","Family clothing stores","2017","231","979","3243702","364988","81679","26403","10% to less than 20%","30% to less than 40%","40% to less than 50%"
"0400000US42","null","Pennsylvania","448150","null","Clothing accessories stores","2017","115","269","290203","36679","9403","2167","50% to less than 60%","30% to less than 40%","20% to less than 30%"
"0400000US42","null","Pennsylvania","448190","null","Other clothing stores","2017","290","485","651781","93432","22944","5651","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","448210","null","Shoe stores","2017","230","992","1436854","160607","38462","9963","20% to less than 30%","20% to less than 30%","30% to less than 40%"
"0400000US42","null","Pennsylvania","448310","null","Jewelry stores","2017","606","870","1045181","145993","39302","4680","10% to less than 20%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","448320","null","Luggage and leather goods stores","2017","10","20","59134","5490","1384","127","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","451110","null","Sporting goods stores","2017","635","815","1551176","170222","38583","8138","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","451120","null","Hobby, toy, and game stores","2017","202","347","655570","80698","19403","6205","Less than 10%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","451130","null","Sewing, needlework, and piece goods stores","2017","107","152","139071","17621","4149","1475","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","451140","null","Musical instrument and supplies stores","2017","114","147","165956","26759","6225","980","10% to less than 20%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","451211","null","Book stores","2017","96","275","443342","58612","15210","3755","Less than 10%","30% to less than 40%","40% to less than 50%"
"0400000US42","null","Pennsylvania","451212","null","News dealers and newsstands","2017","60","71","20167","3341","848","245","10% to less than 20%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","452210","null","Department stores","2017","8","200","2879306","400568","102134","21730","10% to less than 20%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","452311","null","Warehouse clubs and supercenters","2017","5","333","17870876","1641059","412890","65278","Less than 10%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","452319","null","All other general merchandise stores","2017","364","1791","3018519","263996","64503","17987","10% to less than 20%","Less than 10%","50% to less than 60%"
"0400000US42","null","Pennsylvania","453110","null","Florists","2017","559","583","213839","54299","13004","3169","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","453210","null","Office supplies and stationery stores","2017","90","198","448606","50263","12133","2768","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","453220","null","Gift, novelty, and souvenir stores","2017","560","802","496146","82783","19553","5635","20% to less than 30%","10% to less than 20%","10% to less than 20%"
"0400000US42","null","Pennsylvania","453310","null","Used merchandise stores","2017","516","740","468842","125928","30046","7796","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","453910","null","Pet and pet supplies stores","2017","202","457","789035","102026","25821","5336","Less than 10%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","453920","null","Art dealers","2017","113","113","62020","8733","2114","292","10% to less than 20%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","453930","null","Manufactured (mobile) home dealers","2017","56","67","97735","11096","2514","273","Less than 10%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","453991","null","Tobacco stores","2017","381","551","667115","51245","12207","2606","10% to less than 20%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","453998","null","All other miscellaneous store retailers (except tobacco stores)","2017","747","937","675185","110887","22289","4013","10% to less than 20%","Less than 10%","10% to less than 20%"
"0400000US42","null","Pennsylvania","454110","null","Electronic shopping and mail-order houses","2017","1229","1262","61728619","1372270","322322","28171","Less than 10%","30% to less than 40%","30% to less than 40%"
"0400000US42","null","Pennsylvania","454210","null","Vending machine operators","2017","141","169","409314","81840","19866","2469","Less than 10%","20% to less than 30%","10% to less than 20%"
"0400000US42","null","Pennsylvania","454310","null","Fuel dealers","2017","458","620","2851961","271903","69867","6128","20% to less than 30%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","454390","null","Other direct selling establishments","2017","762","814","746868","136876","33855","3978","10% to less than 20%","Less than 10%","10% to less than 20%"
