id,Geo Footnote,Geographic Area Name,2017 NAICS code,2017 NAICS Footnote,Meaning of NAICS code,Year,Number of firms,Number of establishments,"Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
0400000US12,null,Florida,445210,null,Meat markets,2017,190,221,366913,38302,8859,1734,Less than 10%,Less than 10%,20% to less than 30%
0400000US12,null,Florida,445220,null,Fish and seafood markets,2017,172,175,217012,25982,5995,1093,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,445230,null,Fruit and vegetable markets,2017,217,224,396342,35135,8538,1818,10% to less than 20%,Less than 10%,10% to less than 20%
0400000US12,null,Florida,445291,null,Baked goods stores,2017,203,214,72803,14657,4151,1135,20% to less than 30%,Less than 10%,10% to less than 20%
0400000US12,null,Florida,445292,null,Confectionery and nut stores,2017,139,210,106804,20490,5111,1532,40% to less than 50%,30% to less than 40%,30% to less than 40%
0400000US12,null,Florida,445299,null,All other specialty food stores,2017,349,407,199165,37419,9079,2339,10% to less than 20%,20% to less than 30%,20% to less than 30%
0400000US12,null,Florida,445310,null,"Beer, wine, and liquor stores",2017,1182,1429,2580109,171249,43086,8231,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,446110,null,Pharmacies and drug stores,2017,1252,3152,19508126,1664789,429541,42296,Less than 10%,30% to less than 40%,30% to less than 40%
0400000US12,null,Florida,446120,null,"Cosmetics, beauty supplies, and perfume stores",2017,795,1452,1779848,231131,57035,12288,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,446130,null,Optical goods stores,2017,397,1081,960541,184560,44110,7144,10% to less than 20%,40% to less than 50%,50% to less than 60%
0400000US12,null,Florida,446191,null,Food (health) supplement stores,2017,443,890,521582,77069,18890,3619,10% to less than 20%,Less than 10%,10% to less than 20%
0400000US12,null,Florida,446199,null,All other health and personal care stores,2017,654,941,882362,173878,43330,4431,20% to less than 30%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,447110,null,Gasoline stations with convenience stores,2017,3637,5890,21737761,844959,200449,42358,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,447190,null,Other gasoline stations,2017,289,932,4789564,101275,24552,4499,Less than 10%,Less than 10%,10% to less than 20%
0400000US12,null,Florida,448110,null,Men's clothing stores,2017,260,517,721259,104460,27148,4334,20% to less than 30%,20% to less than 30%,30% to less than 40%
